Hour,Minute,Bath_Dryer,Bedroom_ElectricAirHeater,Garden_PumpSwimmingPool,Garden_Treadmill,Kitchen_BakenOven,Kitchen_CoffeeMachine,Kitchen_Dishwashers,Kitchen_ExtractorHood,Kitchen_Freezer,Kitchen_InductionCooking,Living_AirConditioning,Living_CeilingFan,Living_MusicEquipment,Living_SpeakersCinema,Living_TVCinema
0,0,0,0,0,0,0,0,0,0,0.020133326,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0,0.01958337,0,0,0,0,0,0
0,20,0,0,0,0,0,0,0,0,0.019192512,0,0,0,0,0,0
0,30,0,0,0,0,0,0,0,0,0.01911274,0,0,0,0,0,0
0,40,0,0,0,0,0,0,0,0,0.019274147,0,0,0,0,0,0
0,50,0,0,0,0,0,0,0,0,0.018801134,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0.018736744,0,0,0,0,0,0
5,10,0,0,0,0,0,0,0,0,0.019475572,0,0,0,0,0,0
5,20,0,0,0,0,0,0,0,0,0.019637652,0,0,0,0,0,0
5,30,0,0,0,0,0,0,0,0,0.019770995,0,0,0,0,0,0
5,40,0,0,0,0,0,0,0,0,0.019536849,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,0,0.019629628,0,0,0,0,0,0
6,0,0,0,0,0,0,0.185977128,0,0,0,0,0,0,0,0,0
6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0.223332832,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0.24338426,0.367098378,0,0,0,0,0.122021832,0,0,0,0,0.011231413
7,10,0,0,0,0.298858638,0,0,0,0,0,0.364068208,0,0,0,0,0.018715746
7,20,0,0,0,0.303516298,0,0,0,0,0,0,0,0,0,0,0.018202519
7,30,0,0,0,0.32864986,0,0,0,0,0,0,0,0,0,0,0
7,40,0,0,0,0.31367444,0,0,0,0,0,0,0,0,0,0,0
7,50,0,0,0,0.289631384,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0.10900145,0,0,0,0,0,0.019362243,0,0,0,0,0,0
10,10,0,0,0.2166828,0,0,0,0,0,0.019030885,0,0,0,0,0,0
10,20,0,0,0.21816185,0,0,0,0,0,0.018746911,0,0,0,0,0,0
10,30,0,0,0.2125477,0,0,0,0,0,0.020192914,0,0,0,0,0,0
10,40,0,0,0.2098182,0,0,0,0,0,0.020309146,0,0,0,0,0,0
10,50,0,0,0.2168299,0,0,0,0,0,0.018898923,0,0,0,0,0,0
11,0,0,0,0.2147496,0,0,0,0,0,0,0,0.118515052,0.007961632,0,0,0
11,10,0,0,0.2096484,0,0,0,0,0,0,0,0.1206798,0.008712212,0,0,0
11,20,0,0,0.19493275,0,0,0,0,0,0,0,0.122665358,0.009219866,0,0,0
11,30,0,0,0.21186215,0,0,0,0,0,0,0,0.115834033,0.008609238,0,0,0
11,40,0,0,0.21291595,0,0,0,0,0,0,0,0.121486026,0.008476891,0,0,0
11,50,0,0,0.19505495,0,0,0,0,0,0,0,0.128516952,0.008466922,0,0,0
12,0,0,0,0.19942095,0,0,0,0,0.007515665,0,0.373950388,0.118303384,0.008595691,0,0,0
12,10,0,0,0.2150784,0,0,0,0,0.038675582,0,0.224874324,0.121369425,0.008752204,0,0,0
12,20,0,0,0.2030535,0,0,0,0,0.037308758,0,0.31059384,0.12108671,0.008821243,0,0,0
12,30,0,0,0,0,0,0,0,0.038082767,0,0.288156724,0.120900422,0.008498151,0,0,0
12,40,0,0,0,0,0,0,0,0.036826053,0,0.181085084,0.119799129,0.00841229,0,0,0
12,50,0,0,0,0,0,0,0,0.038034921,0,0.400591468,0.123410399,0.008596985,0,0,0
13,0,0.35088723,0,0,0,0,0.185977128,0,0.036798233,0,0.342740928,0.119657172,0.008462504,0,0,0
13,10,0.992044634,0,0,0,0,0,0,0.038226066,0,0.370732192,0.115727375,0.008676213,0,0,0
13,20,1.075713604,0,0,0,0,0,0,0.039370208,0,0.370076988,0.122918294,0.009228927,0,0,0
13,30,0.973946882,0,0,0,0,0,0,0.039387648,0,0.362843868,0.120216944,0.009161018,0,0,0
